,Numb #,KEYWORD,TERM,CATEGORY,MEANING,EXAMPLES IN SENTENCES,NOTES
,811,FLAVA,flava,TEEN,style,He’s got flava.,
,812,FLAWLESS,flawless,TEEN,perfect,Her performance was flawless.,
,813,FLEX,flex|flexed|flexing,TEEN,show off,He’s flexing his new shoes.,
,814,FLICK,flick|flicked|flicking,TEEN,send or throw,Flick me a text.,He flicked the ball.
,815,FLIP,flip|flipped|flipping,TEEN,lose temper,He flipped out.,He’s flipping again.
,816,FLIRT,flirt|flirted|flirting,TEEN,act romantic,He’s flirting with her.,
,817,FLOAT,float|floated|floating,TEEN,go along,I’ll just float with it.,
,818,FLOOR,floor|floored|flooring,TEEN,shock,That news floored me.,
,819,FLOP,flop|flopped|flopping,TEEN,fail badly,The movie flopped.,
,820,FLUFF,fluff|fluffed|fluffing,TEEN,mess up,He fluffed his lines.,
,821,FLY,fly,TEEN,cool,That jacket is fly.,
,822,FOAMING,foaming,TEEN,very angry,He was foaming after that call.,
,823,FOB,fob,TEEN,fresh off the boat,They called him a fob.,
,824,FOCUS,focus|focused|focusing,TEEN,concentrate,"Focus up, team.",
,825,FOE,foe,TEEN,enemy,He’s my foe now.,
,826,FOGGY,foggy,TEEN,confused,My brain’s foggy.,
,827,FOMO,fomo,TEEN,fear of missing out,I’ve got fomo about that party.,
,828,FOODIE,foodie,TEEN,food lover,She’s a foodie.,
,829,FOOL,fool,TEEN,idiot,Don’t be a fool.,
,830,FOOLING,fooling,TEEN,joking,"I’m just fooling, bro.",
,831,FOR REAL,for real,TEEN,seriously,Are you for real.,
,832,FOR SURE,for sure,TEEN,definitely,"For sure, I’ll come.",
,833,FORCE,force|forced|forcing,TEEN,push,Don’t force it.,
,834,FOREVER,forever,TEEN,very long time,We waited forever.,
,835,FORGET IT,forget it,TEEN,drop it,"Forget it, bro.",
,836,FORMAL,formal,TEEN,school ball,She’s going to formal.,
,837,FORTNITE,fortnite,TEEN,video game,He’s on Fortnite again.,
,838,FOSSIL,fossil,TEEN,old person,He’s a fossil now.,
,839,FOUL,foul,TEEN,gross,That smell is foul.,
,840,FOUL AS,foul as,TEEN,very gross,That bin is foul as.,
,841,FOUR EYES,four eyes,TEEN,person with glasses,They called him four eyes.,
,842,FRAIL,frail,GENERAL NZ,weak,He’s looking frail.,
,843,FRAME,frame|framed|framing,TEEN,set up,They framed him for it.,
,844,FREAK,freak,TEEN,weird person,He’s a freak.,
,845,FREAK OUT,freak out|freaked out|freaking out,TEEN,panic,I freaked out in the test.,
,846,FREE,free,TEEN,not busy,I’m free after lunch.,
,847,FREEBIE,freebie,TEEN,free item,We got a freebie.,
,848,FRESH,fresh,TEEN,new and cool,Those shoes are fresh.,
,849,FRESH AS,fresh as,TEEN,very cool,That cut is fresh as.,
,850,FRIENDZONE,friendzone|friendzoned|friendzoning,TEEN,kept as friend only,He got friendzoned.,
,851,FRIG,frig,TEEN,soft swear,"Oh frig, I’m late.",
,852,FRIGGIN,friggin,TEEN,emphasis,That was friggin loud.,
,853,FRISKY,frisky,TEEN,playful,He’s feeling frisky.,
,854,FRITO,frito,TEEN,weird,"That’s frito, man.",
,855,FROTH,froth|frothed|frothing,TEEN,be keen on,I froth that band.,He’s frothing over it.
,856,FRUITLOOP,fruitloop,TEEN,crazy person,He’s a fruitloop.,
,857,FRUSTRATED,frustrated,TEEN,annoyed,I’m frustrated with this.,
,858,FUEL,fuel,TEEN,energy,I need fuel before training.,
,859,FULL,full,TEEN,completely,I’m full done with that.,
,860,FULL AS,full as,GENERAL NZ,very full,I’m full as after that feed.,
,861,FUN,fun,TEEN,enjoyable,That was fun.,
,862,FUN AS,fun as,TEEN,very enjoyable,The trip was fun as.,
,863,FUNNY,funny,TEEN,strange or amusing,"That’s funny, bro.",
,864,FURIOUS,furious,TEEN,very angry,He’s furious about it.,
,865,FUSSY,fussy,GENERAL NZ,picky,He’s fussy with food.,
,866,FUTURE,future,TEEN,later life,Think about your future.,
,867,FYA,fya,TEEN,for your attention,"Just fya, it’s due tomorrow.",
,868,G,g,TEEN,mate,"You good, g.",
,869,G.O.A.T,g.o.a.t,GENERAL NZ,greatest of all time,He’s the g.o.a.t at that game.,
,870,GAB,gab|gabbed|gabbing,TEEN,talk a lot,They were gabbing for ages.,
,871,GAG,gag|gagged|gagging,TEEN,joke,That was a gag.,We’re gagging at that.
,872,GAIN,gain|gains,TEEN,muscle growth,He’s chasing gains.,
,873,GAL,gal,TEEN,girl,She’s a cool gal.,
,874,GAME,game,TEEN,down to try,I’m game if you are.,
,875,GAMER,gamer,TEEN,video game player,He’s a serious gamer.,
,876,GANG,gang,TEEN,friend group,We’re rolling with the gang.,
,877,GANG GANG,gang gang,TEEN,solid crew,We’re gang gang now.,
,878,GANGSTA,gangsta,TEEN,tough style,He’s acting gangsta.,
,879,GAP,gap|gapped|gapping,TEEN,leave quickly,He gapped it.,We’re gapping now.
,880,GARAGE,garage,TEEN,band practice space,We play in the garage.,
,881,GARBAGE,garbage,TEEN,very bad,That movie was garbage.,
,882,GAS,gas,TEEN,funny or wild,That night was gas.,
,883,GASSED,gassed,TEEN,overhyped or tired,I’m gassed after training.,
,884,GASSING,gassing,TEEN,hyping up,We’re gassing him up.,
,885,GATE,gate|gated|gating,TEEN,block access,They gated him from the chat.,
,886,GATHER,gather|gathered|gathering,TEEN,understand,I gather what you mean.,
,887,GEEK,geek,TEEN,nerd,He’s a maths geek.,
,888,GEEK OUT,geek out|geeked out|geeking out,TEEN,get excited about niche stuff,We geeked out over comics.,
,889,GEL,gel|gelled|gelling,TEEN,work well together,The team gelled quickly.,
,890,GEM,gem,TEEN,great person,She’s a gem.,
,891,GEN,gen,TEEN,information,What’s the gen on that.,
,892,GENIUS,genius,TEEN,very smart,He’s a genius.,
,893,GENT,gent,GENERAL NZ,gentleman,He’s a proper gent.,
,894,GENTLE,gentle,GENERAL NZ,soft,Be gentle with it.,
,895,GHOST,ghost|ghosted|ghosting,TEEN,ignore messages,He ghosted me.,
,896,GIANT,giant,TEEN,very big,"That’s giant, bro.",
,897,GIFT,gift|gifted|gifting,TEEN,give,He gifted me his old boots.,
,898,GIG,gig,TEEN,concert or show,We’re going to a gig.,
,899,GIGGLE,giggle|giggled|giggling,TEEN,laugh lightly,They were giggling in class.,
,900,GIMPY,gimpy,TEEN,awkward,He’s a bit gimpy.,
,901,GINORMOUS,ginormous,TEEN,huge,That burger was ginormous.,
,902,GIRLIE,girlie,TEEN,girlish,That’s a bit girlie.,
,903,GIST,gist,TEEN,main idea,I got the gist of it.,
,904,GLAM,glam,TEEN,glamorous,She looks glam tonight.,
,905,GLAM UP,glam up|glammed up|glamming up,TEEN,dress fancy,We’re glamming up for the ball.,
,906,GLARE,glare|glared|glaring,TEEN,stare angrily,He glared at me.,
,907,GLITCH,glitch|glitched|glitching,TEEN,bug or error,The game glitched.,
,908,GLOAT,gloat|gloated|gloating,TEEN,brag,He’s gloating about the win.,
,909,GLOOMY,gloomy,TEEN,sad,I’m feeling gloomy today.,
,910,GLOW UP,glow up|glowed up|glowing up,TEEN,big improvement,She had a major glow up.,
,911,GLOWY,glowy,TEEN,radiant,She looks glowy today.,
,912,GLUM,glum,TEEN,sad,He’s feeling glum.,
,913,GLUTEN,gluten,TEEN,food trend,She’s off gluten now.,
,914,GO,go,TEEN,permission,You’re good to go.,
,915,GO HARD,go hard,TEEN,put in effort,We’re going hard today.,
,916,GO OFF,go off|went off|going off,TEEN,react strongly,The crowd went off.,
,917,GOAT,goat,TEEN,greatest,He’s the goat at rugby.,
,918,GOB,gob,GENERAL NZ,mouth,Shut your gob.,
,919,GOBBY,gobby,GENERAL NZ,mouthy,He’s getting gobby.,
,920,GOBSMACKED,gobsmacked,GENERAL NZ,shocked,I was gobsmacked.,
,921,GODMODE,godmode,TEEN,invincible,He’s in godmode today.,
,922,GOING OFF,going off,TEEN,getting wild,The party’s going off.,
,923,GOLD,gold,TEEN,excellent,That idea is gold.,
,924,GOLD AS,gold as,TEEN,very excellent,That joke was gold as.,
,925,GONE,gone,TEEN,exhausted,I’m gone after training.,
,926,GONER,goner,TEEN,finished,He’s a goner.,
,927,GOOD AS,good as,TEEN,very good,"That’s good as, bro.",
,928,GOOD ONE,good one,TEEN,sarcasm,"Good one, mate.",
,929,GOOD SORT,good sort,GENERAL NZ,nice person,She’s a good sort.,
,930,GOOF,goof,TEEN,fool,Don’t be a goof.,
,931,GOOFY,goofy,TEEN,playful silly,He’s goofy today.,
,932,GOON,goon,TEEN,idiot,He’s acting like a goon.,
,933,GOOSE,goose,TEEN,fool,You goose.,
,934,GORGEOUS,gorgeous,TEEN,very attractive,She looks gorgeous.,
,935,GOSS,goss,TEEN,gossip,What’s the goss.,
,936,GOSSIP,gossip|gossiped|gossiping,TEEN,spread rumours,They’re gossiping again.,
,937,GOTCHA,gotcha,TEEN,understood,"Gotcha, bro.",
,938,GOTH,goth,TEEN,dark style,He’s gone goth.,
,939,GOT IT,got it,TEEN,understood,"Got it, thanks.",
,940,GOT THIS,got this,TEEN,confidence,You got this.,
,941,GOURD,gourd,TEEN,head,"Use your gourd, mate.",
,942,GRAIL,grail,TEEN,ultimate item,Those shoes are grail.,
,943,GRAM,gram,TEEN,Instagram,Post it on the gram.,
,944,GRAND,grand,GENERAL NZ,great,"That’s grand, mate.",
,945,GRANNY,granny,TEEN,old-fashioned,That outfit is granny.,
,946,GRASS,grass|grassed|grassing,TEEN,snitch,He grassed on us.,
,947,GRATEFUL,grateful,TEEN,thankful,I’m grateful for that.,
,948,GRAVE,grave,TEEN,serious,That’s grave news.,
,949,GRAVY,gravy,TEEN,easy,That test was gravy.,
,950,GRAY AREA,gray area,TEEN,unclear,It’s a gray area.,
,951,GRAZE,graze|grazed|grazing,GENERAL NZ,light eat,We’re grazing all day.,
,952,GREASY,greasy,TEEN,slimy behaviour,That was greasy.,
,953,GREAT,great,TEEN,good,"That’s great, bro.",
,954,GREAT AS,great as,TEEN,very good,That was great as.,
,955,GREMLIN,gremlin,TEEN,chaotic person,He’s a gremlin.,
,956,GRIEF,grief,GENERAL NZ,trouble,He gave me grief.,
,957,GRILL,grill|grilled|grilling,TEEN,question hard,They grilled him.,
,958,GRIM,grim,TEEN,bad,"That’s grim, bro.",
,959,GRIN,grin|grinned|grinning,TEEN,smile,He’s grinning again.,
,960,GRIND,grind|grinded|grinding,TEEN,work hard,We’re grinding tonight.,
,961,GRINDSET,grindset,TEEN,hustle mindset,He’s on that grindset.,
,962,GRIT,grit,TEEN,determination,Show some grit.,
,963,GRITTY,gritty,TEEN,tough,That was gritty play.,
,964,GROAN,groan|groaned|groaning,TEEN,complain,He groaned at the homework.,
,965,GROOVY,groovy,TEEN,cool,That tune is groovy.,
,966,GROSS,gross,TEEN,disgusting,That’s gross.,
,967,GROSS AS,gross as,TEEN,very disgusting,That bin is gross as.,
,968,GROUP CHAT,group chat,TEEN,messaging group,Drop it in the group chat.,
,969,GROW UP,grow up|grew up|growing up,TEEN,mature,"Grow up, bro.",
,970,GRUB,grub,GENERAL NZ,food,Grab some grub.,
,971,GRUBBY,grubby,GENERAL NZ,dirty,Your hands are grubby.,
,972,GRUMPY,grumpy,GENERAL NZ,irritable,He’s grumpy today.,
,973,GUARANTEE,guarantee,TEEN,promise,I guarantee it.,
,974,GUESS,guess|guessed|guessing,TEEN,estimate,I’m guessing here.,
,975,GUEST,guest,TEEN,visitor,We’ve got a guest.,
,976,GUIDE,guide|guided|guiding,TEEN,lead,He guided us through.,
,977,GUILT TRIP,guilt trip,TEEN,manipulate,Don’t guilt trip me.,
,978,GULLIBLE,gullible,TEEN,easy to fool,He’s so gullible.,
,979,GUMMY,gummy,TEEN,soft,That bread is gummy.,
,980,GUN,gun,TEEN,excellent,He’s a gun at maths.,
,981,GUN IT,gun it,GENERAL NZ,go fast,"Gun it, bro.",
,982,GUT,gut,TEEN,intuition,Trust your gut.,
,983,GUTTED,gutted,GENERAL NZ,devastated,"I’m gutted, mate.",
,984,GUTSY,gutsy,GENERAL NZ,brave,That was gutsy.,
,985,GUY,guy,TEEN,male friend,He’s a good guy.,
,986,GYM,gym,TEEN,workout place,See you at the gym.,
,987,GYM RAT,gym rat,TEEN,gym-obsessed person,He’s a gym rat.,
,988,HACK,hack|hacked|hacking,TEEN,shortcut,That’s a neat hack.,
,989,HACKER,hacker,TEEN,skilled gamer,He plays like a hacker.,
,990,HAG,hag,TEEN,mean person,She’s being a hag.,
,991,HAHA,haha,TEEN,laughter,"Haha, good one.",
,992,HAIRY,hairy,GENERAL NZ,dangerous,That was a hairy moment.,
,993,HALF,half,TEEN,not fully,I’m half keen.,
,994,HALF AS,half as,TEEN,barely,I’m half as ready.,
,995,HALL PASS,hall pass,TEEN,permission,He got a hall pass.,
,996,HAM,ham,TEEN,overact,He’s hamming it up.,
,997,HAMMER,hammer|hammered|hammering,TEEN,hit hard,He hammered the ball.,
,998,HANDY,handy,GENERAL NZ,useful,That’s handy.,
,999,HANG,hang|hung|hanging,TEEN,spend time,We’re hanging later.,
,1000,HANGRY,hangry,TEEN,hungry-angry,"I’m hangry, bro.",
,1001,HANG OUT,hang out|hung out|hanging out,TEEN,spend time,We hung out yesterday.,
,1002,HAPPEN,happen|happened|happening,TEEN,occur,It happened again.,
,1003,HARD,hard,TEEN,difficult,That test was hard.,
,1004,HARD AS,hard as,TEEN,very difficult,That climb was hard as.,
,1005,HARDEN UP,harden up,GENERAL NZ,toughen,"Harden up, mate.",
,1006,HARD OUT,hard out,GENERAL NZ,completely,I agree hard out.,
,1007,HARD YAKKA,hard yakka,GENERAL NZ,hard work,That was hard yakka.,
,1008,HASSLE,hassle|hassled|hassling,TEEN,bother,Stop hassling me.,
,1009,HASTY,hasty,TEEN,rushed,That was hasty.,
,1010,HATE,hate|hated|hating,TEEN,dislike,I hated that.,I’m hating this weather.
,1011,HAUL,haul|hauled|hauling,TEEN,carry,We hauled the gear.,
,1012,HAUNT,haunt|haunted|haunting,TEEN,trouble mentally,It haunted me.,
,1013,HAVOC,havoc,TEEN,chaos,They caused havoc.,
,1014,HAWK,hawk|hawked|hawking,TEEN,sell,He’s hawking old gear.,
,1015,HAYWIRE,haywire,TEEN,out of control,It went haywire.,
,1016,HAZARD,hazard,GENERAL NZ,danger,That’s a hazard.,
,1017,HEAD,head|headed|heading,TEEN,go,We’re heading out.,
,1018,HEADACHE,headache,TEEN,annoyance,This is a headache.,
,1019,HEADS UP,heads up,TEEN,warning,"Heads up, bro.",
,1020,HEAL,heal|healed|healing,TEEN,recover,He’s healing now.,
,1021,HEAPS,heaps,GENERAL NZ,a lot,Heaps of people came.,
,1022,HEART,heart,TEEN,emotion,My heart’s not in it.,
,1023,HEARTBROKEN,heartbroken,TEEN,very sad,She’s heartbroken.,
,1024,HEARTLESS,heartless,TEEN,cruel,That was heartless.,
,1025,HEAT,heat,TEEN,intensity,Bring the heat.,
,1026,HEATED,heated,TEEN,angry,It got heated.,
,1027,HEATING UP,heating up,TEEN,getting intense,The game’s heating up.,
,1028,HECK,heck,TEEN,surprise,What the heck.,
,1029,HECKLE,heckle|heckled|heckling,TEEN,mock,They heckled him.,
,1030,HECTIC,hectic,TEEN,wild,That was hectic.,
,1031,HEFTY,hefty,TEEN,large,That’s a hefty fine.,
,1032,HEIGHTEN,heighten|heightened|heightening,TEEN,increase,It heightened the drama.,
,1033,HEINOUS,heinous,TEEN,terrible,That was heinous.,
,1034,HELLA,hella,TEEN,very,That’s hella cool.,
,1035,HELP,help|helped|helping,TEEN,assist,Help me out.,
,1036,HELPFUL,helpful,GENERAL NZ,useful,That’s helpful.,
,1037,HEMI,hemi,TEEN,half,I’m hemi keen.,
,1038,HENCH,hench,TEEN,muscular,He’s looking hench.,
,1039,HERO,hero,TEEN,admirable person,He’s a hero.,
,1040,HEROIC,heroic,TEEN,brave,That was heroic.,
,1041,HESITATE,hesitate|hesitated|hesitating,TEEN,pause,Don’t hesitate.,
,1042,HEY,hey,TEEN,greeting,Hey bro.,
,1043,HICCUP,hiccup,TEEN,small problem,Just a hiccup.,
,1044,HIDE,hide|hid|hiding,TEEN,avoid,He’s hiding from us.,
,1045,HIGH,high,TEEN,intense,That was high drama.,
,1046,HIGH KEY,high key,TEEN,obvious,I high key love that.,
,1047,HIGHLIGHT,highlight,TEEN,best part,That was the highlight.,
,1048,HILARIOUS,hilarious,TEEN,very funny,That was hilarious.,
,1049,HINT,hint|hinted|hinting,TEEN,suggest,He hinted at it.,
,1050,HIP,hip,TEEN,cool,That’s hip now.,
,1051,HIPSTER,hipster,TEEN,trendy person,He’s a hipster.,
,1052,HISS,hiss|hissed|hissing,TEEN,angry sound,He hissed at me.,
,1053,HIT,hit|hit|hitting,TEEN,strike,He hit the ball.,
,1054,HIT UP,hit up|hit me up|hitting up,TEEN,contact,Hit me up later.,
,1055,HIT THE DECK,hit the deck,TEEN,fall,He hit the deck hard.,
,1056,HIT THE SPOT,hit the spot,TEEN,satisfy,That drink hit the spot.,
,1057,HIVE,hive,TEEN,busy place,The hall was a hive.,
,1058,HMM,hmm,TEEN,thinking,"Hmm, maybe.",
,1059,HOARD,hoard|hoarded|hoarding,TEEN,collect too much,He’s hoarding snacks.,
,1060,HOAX,hoax,TEEN,fake story,It was a hoax.,
,1061,HOBBY,hobby,TEEN,interest,Gaming is my hobby.,
,1062,HOCK,hock|hocked|hocking,GENERAL NZ,pawn,He hocked his phone.,
,1063,HOG,hog|hogged|hogging,TEEN,take too much,Stop hogging the wifi.,
,1064,HOLE,hole,TEEN,bad situation,I’m in a hole.,
,1065,HOLLA,holla,TEEN,call out,Holla at me.,
,1066,HOLY,holy,TEEN,surprised,"Holy, that was close.",
,1067,HOME,home,TEEN,house,Let’s go home.,
,1068,HOMIE,homie,TEEN,friend,He’s my homie.,
,1069,HONEST,honest,TEEN,truthfully,"Honest, I didn’t know.",
,1070,HONESTLY,honestly,TEEN,truth,"Honestly, same.",
,1071,HONK,honk|honked|honking,TEEN,vomit,He honked everywhere.,
,1072,HONOUR,honour|honoured|honouring,GENERAL NZ,respect,I’m honoured.,
,1072A,HOODIE,hoodie,GENERAL NZ,Clothing - a top with long sleeves and a hood,Hoodies are good wor windy days and for when you dont want to be recognised!,
,1073,HOOK,hook|hooked|hooking,TEEN,addicted,I’m hooked on that show.,
,1074,HOOK UP,hook up|hooked up|hooking up,TEEN,kiss or connect or more,They hooked up.at last.,
,1075,HOON,hoon,GENERAL NZ,reckless driver,He’s a hoon don't drive with him.,
,1076,HOONING,hooning,GENERAL NZ,driving fast,They’re hooning around.,
,1077,HOPE,hope|hoped|hoping,TEEN,wish,I’m hoping for the best.,
,1078,HOP OFF,hop off,TEEN,leave,I’m gonna hop off.,
,1079,HOP ON,hop on,TEEN,join,Hop on the call.,
,1080,HORROR,horror,TEEN,terrible,"That was horror, bro.",
,1081,HORSE,horse,TEEN,big,That sandwich was horse.,
,1082,HOST,host|hosted|hosting,TEEN,run event,He’s hosting tonight.,
,1083,HOT,hot,TEEN,attractive,She’s hot.,
,1084,HOT AS,hot as,TEEN,very attractive,She’s hot as.,
,1085,HOT MESS,hot mess,TEEN,chaotic,I’m a hot mess today.,
,1086,HOT TAKE,hot take,TEEN,controversial opinion,Hot take incoming.,
,1087,HOTTIE,hottie,TEEN,attractive person,He’s a hottie.,
,1088,HOUND,hound|hounded|hounding,TEEN,harass,They hounded him.,
,1089,HOURS,hours,TEEN,long time,We waited hours.,
,1090,HOUSE,house,TEEN,home,Come to my house.,
,1091,HOVER,hover|hovered|hovering,TEEN,stay nearby,He’s hovering around.,
,1092,HOW,how,TEEN,surprised,How is that real.,
,1093,HOW GOOD,how good,GENERAL NZ,expression,How good is that.,
[HOWLING](ca://s?q=HOWLING)                     1094,1094,HOWLING,howling,TEEN,laughing hard,We were howling at that joke.,
,1095,HYPE,hype|hyped|hyping,TEEN,excite,They’re hyping the game.,
,1096,HYPEBEAST,hypebeast,TEEN,brand-obsessed,He’s a hypebeast.,
,1097,HYPED,hyped,TEEN,excited,I’m hyped for Friday.,
,1098,HYPER,hyper,TEEN,over-energetic,He’s hyper today.,
,1099,ICON,icon,TEEN,admired person,She’s an icon.,
,1100,ICONIC,iconic,TEEN,legendary,That moment was iconic.,
,1101,ICY,icy,TEEN,cold attitude,She’s being icy.,
,1102,IDK,idk,TEEN,I don’t know,Idk what to say.,
,1103,IGNITE,ignite|ignited|igniting,TEEN,start drama,That ignited the beef.,
,1104,IGNORE,ignore|ignored|ignoring,TEEN,leave on read,He’s ignoring my snaps.,
,1105,ILL,ill,TEEN,cool,That trick was ill.,
,1106,IMMACULATE,immaculate,TEEN,perfect,Her fit is immaculate.,
,1107,IMPRESSIVE,impressive,TEEN,very good,That play was impressive.,
,1108,INBOX,inbox|inboxed|inboxing,TEEN,DM,Inbox me later.,
,1109,INCOMING,incoming,TEEN,about to happen,Drama incoming.,
,1110,INCRIMINATE,incriminate|incriminated|incriminating,TEEN,make look guilty,That screenshot is incriminating.,
,1111,INDIE,indie,TEEN,alt style,He’s into indie music.,
,1112,INDOOR KID,indoor kid,TEEN,stays inside,He’s such an indoor kid.,
,1113,INFLUENCER,influencer,TEEN,online personality,She’s an influencer.,
,1114,INFO,info,TEEN,information,Send me the info.,
,1115,INKED,inked,TEEN,tatted,He’s inked now.,
,1116,INNIT,innit,TEEN,isn’t it,"Cold, innit.",
,1117,INSANE,insane,TEEN,wild,That was insane.,
,1118,INSECURE,insecure,TEEN,unsure of self,He’s insecure about that.,
,1119,INSTA,insta,TEEN,Instagram,Add me on insta.,
,1120,INSTANT REPLAY,instant replay,TEEN,watch again,We need an instant replay.,
,1121,INTENSE,intense,TEEN,extreme,That game was intense.,
,1122,INTO,into,TEEN,like,He’s into gaming.,
,1123,INVOLVED,involved,TEEN,mixed up,He’s involved in drama.,
,1124,IRONIC,ironic,TEEN,opposite of expected,"That’s ironic, bro.",
,1125,ISSUE,issue,TEEN,problem,What’s your issue.,
,1126,J,j,TEEN,joint or joke,"That’s a j, bro.",
,1127,JACK,jack|jacked|jacking,TEEN,steal,He jacked my pen.,
,1128,JACKED,jacked,TEEN,muscular,He’s jacked now.,
,1129,JAM,jam|jammed|jamming,TEEN,play music,We’re jamming tonight.,
,1130,JAM OUT,jam out|jammed out|jamming out,TEEN,enjoy music,We jammed out in the car.,
,1131,JANDALS,jandals,GENERAL NZ,flip-flops,Chuck your jandals on.,
,1132,JAZZED,jazzed,TEEN,excited,I’m jazzed for the trip.,
,1133,JEALOUS,jealous,TEEN,envious,"I’m jealous, bro.",
,1134,JELLY,jelly,TEEN,jealous,I’m jelly of that.,
,1135,JET,jet|jetted|jetting,TEEN,leave fast,We jetted after class.,
,1136,JIB,jib|jibbed|jibbing,GENERAL NZ,ditch,He jibbed the game.,
,1137,JITTERY,jittery,TEEN,nervous,I’m jittery before exams.,
,1138,JOCK,jock,TEEN,sporty person,He’s a jock.,
,1139,JOKE,joke|joked|joking,TEEN,not serious,"I’m joking, relax.",
,1140,JUDGY,judgy,TEEN,over-critical,She’s being judgy.,
,1141,JUICE,juice,TEEN,gossip or power,He’s got the juice.,
,1142,JUICED,juiced,TEEN,excited or strong,He’s juiced for the game.,
,1143,JUICY,juicy,TEEN,interesting,That’s juicy gossip.,
,1144,JUMP,jump|jumped|jumping,TEEN,attack,They jumped him after school.,
,1145,JUMP IN,jump in|jumped in|jumping in,TEEN,join,Jump in the chat.,
,1146,JUNK,junk,TEEN,useless stuff,"That’s junk, bro.",
,1147,JUNK FOOD,junk food,TEEN,unhealthy food,We smashed junk food.,
,1148,JUST SAYIN,just sayin,TEEN,not being mean,"Just sayin, that’s rough.",
,1149,K,k,TEEN,okay,"K, cool.",
,1150,KA-CHING,ka-ching,TEEN,money sound,"Got paid, ka-ching.",
,1151,KAI,kai,MAORI GENERAL,food,We had some kai.,
,1152,KAREN,karen,TEEN,entitled person,She’s being a Karen.,
,1153,KEEN,keen,GENERAL NZ,enthusiastic,I’m keen as.,
,1154,KEEN AS,keen as,GENERAL NZ,very keen,I’m keen as for that.,
,1155,KEEP IT REAL,keep it real,TEEN,be genuine,Just keep it real.,
,1156,KETO,keto,TEEN,diet trend,She’s on keto now.,
,1157,KICKS,kicks,TEEN,shoes,"Nice kicks, bro.",
,1158,KILL,kill|killed|killing,TEEN,do very well,She killed that performance.,
,1159,KILLER,killer,TEEN,awesome,That was a killer set.,
,1160,KILLED IT,killed it,TEEN,did great,"You killed it, bro.",
,1161,KING,king,TEEN,top person,You’re a king for that.,
,1162,KINKY,kinky,TEEN,sexual,"That’s kinky, bro.",
,1163,KIP,kip|kipped|kipping,GENERAL NZ,sleep,I’m having a kip.,
,1164,KIT,kit,TEEN,gear,Grab your kit.,
,1165,KITTED OUT,kitted out,TEEN,fully equipped,He’s kitted out in new gear.,
,1166,KIWI,kiwi,GENERAL NZ,New Zealander,He’s a kiwi.,
,1167,KNOCK,kock|knocked|knocking,TEEN,hit,He knocked the drink over.,
,1168,KNOCK OFF,kock off|knocked off|knocking off,GENERAL NZ,finish work,We knock off at five.,
,1169,KNOCKED,kocked,TEEN,exhausted,I’m knocked after that run.,
,1170,KNOW-IT-ALL,know-it-all,TEEN,arrogant smart,He’s a know-it-all.,
,1171,KORERO,korero,MAORI GENERAL,talk,We had a korero about it.,
,1172,LABEL,label|labelled|labelling,TEEN,tag someone,Don’t label him.,
,1173,LAD,lad,TEEN,boy,He’s a good lad.,
,1174,LAG,lag|lagged|lagging,TEEN,slow connection,The game’s lagging.,
,1175,LAID BACK,laid back,TEEN,relaxed,He’s laid back.,
,1176,LAM,lam,TEEN,uncool,"That’s lam, bro.",
,1177,LAME,lame,TEEN,weak,That excuse is lame.,
,1178,LASH OUT,lash out|lashed out|lashing out,TEEN,explode in anger,He lashed out at us.,
,1179,LATERZ,laterz,TEEN,casual goodbye,"Laterz, bro.",
,1180,LAUGH,laugh|laughed|laughing,TEEN,find funny,We laughed heaps.,
,1181,LAZY,lazy,TEEN,not trying,That’s lazy work.,
,1182,LEAK,leak|leaked|leaking,TEEN,release early,The track leaked online.,
,1183,LEB,leb,TEEN,stereotyped tough guy,He’s acting like a leb.,
,1184,LEGEND,legend,GENERAL NZ,awesome person,You’re a legend.,
,1185,LEGIT,legit,TEEN,genuine,"That’s legit, bro.",
,1186,LEGIT AS,legit as,TEEN,very genuine,That’s legit as.,
,1187,LET DOWN,let down|let me down|letting down,TEEN,disappoint,You let me down.,
,1188,LET GO,let go|let it go|letting go,TEEN,move on,Just let it go.,
,1189,LEVEL UP,level up|levelled up|levelling up,TEEN,improve,Time to level up.,
,1190,LIFT,lift|lifted|lifting,TEEN,steal,He lifted that from the shop.,
,1191,LIFTED,lifted,TEEN,high or inspired,That song got me lifted.,
,1192,LIGHTEN UP,lighten up,TEEN,relax,Lighten,
[L](ca://s?q=L),1185,LIGHTWEIGHT,lightweight,TEEN,weak effort,That excuse is lightweight.,
[L](ca://s?q=L),1186,LIL,lil,TEEN,little,My lil bro.,
[L](ca://s?q=L),1187,LIMBO,limbo,TEEN,uncertain,We’re in limbo.,
[L](ca://s?q=L),1188,LIMITED,limited,TEEN,not very good,That fit is limited.,
[L](ca://s?q=L),1189,LIP,lip,TEEN,backchat,Don’t give me lip.,
[L](ca://s?q=L),1190,LIT,lit,TEEN,awesome,That party was lit.,
[L](ca://s?q=L),1191,LIT AS,lit as,TEEN,very awesome,The concert was lit as.,
[L](ca://s?q=L),1192,LIVID,livid,TEEN,furious,Mum’s livid.,
[L](ca://s?q=L),1193,LOAD,load|loaded|loading,TEEN,lots,We’ve got a load of work.,
[L](ca://s?q=L),1194,LOADED,loaded,TEEN,rich,He’s loaded.,
[L](ca://s?q=L),1195,LOAF,loaf|loafed|loafing,TEEN,do nothing,We loafed around.,
